! variable name, dimension, grid location, remapping method, vector pair, grid location of vector pair,gb2 varname,discription,unit,g1,g2,g3,g4,gc5,gc6,gc7,gc8
      'SSH',2,'Ct' , 'bilinear' , '', '','SSHG','Sea Surface Height Relative to Geoid','m',10,0,7,1,3,195,101,0
      'SST',2,'Ct' , 'bilinear' , '', '','WTMP','Water Temperature','K',10,1,0,0,3,0,101,0
      'SSS',2,'Ct' , 'bilinear' , '', '','SALINITY','Salinity','psu',10,0,7,1,3,21,101,0
    'speed',2,'Ct' , 'bilinear' , '', '','SPC','Current Speed','m/s',10,1,0,0,1,1,101,0
  'MLD_003',2,'Ct' , 'bilinear' , '', '','WDEPTH','Water Depth','m',10,1,0,0,4,14,101,0
   'latent',2,'Ct' , 'conserve' , '', '','LHTFL','Latent Heat Net Flux','W/m^2',0,1,0,0,0,10,101,0
 'sensible',2,'Ct' , 'conserve' , '', '','SHTFL','Sensible Heat Net Flux','W/m^2',0,1,0,0,0,11,101,0
       'SW',2,'Ct' , 'conserve' , '', '','NSWRF','Net Short Wave Radiation Flux','W/m^2',0,1,0,0,4,9,101,0
       'LW',2,'Ct' , 'conserve' , '', '','NLWRF','Net Long-Wave Radiation Flux','W/m^2',0,1,0,0,5,5,101,0
'LwLatSens',2,'Ct' , 'conserve' , '', '','THFLX','Total Downward Heat Flux at Surface','W/m^2',0,0,7,1,0,197,101,0
 'Heat_PmE',2,'Ct' , 'conserve' , '', '','DWHFLUX','Downward Heat Flux','W/m^2',10,1,0,0,3,4,101,0
      'SSU',2,'Cu' , 'bilinear' , 'SSV'  , 'Cv','UOGRD','U-Component of Current','m/s',10,1,0,0,1,2,101,0
      'SSV',2,'Cv' , 'bilinear' , 'SSU'  , 'Cu','VOGRD','V-Component of Current','m/s',10,1,0,0,1,3,101,0
     'taux',2,'Cu' , 'conserve' , 'tauy' , 'Cv','XCOMPSS','x-component Surface Stress','N/m^2',10,1,0,0,3,7,101,0
     'tauy',2,'Cv' , 'conserve' , 'taux' , 'Cu','YCOMPSS','y-component Surface Stress','N/m^2',10,1,0,0,3,7,101,0
     'temp',3,'Ct' , 'bilinear' , '', '','WTMP','Water Temperature','K',10,1,0,0,3,0,168,0
       'so',3,'Ct' , 'bilinear' , '', '','SALIN','3-D Salinity','psu',10,0,7,1,4,193,168,0
       'uo',3,'Cu' , 'bilinear' , 'vo' , 'Cv','UOGRD','U-Component of Current','m/s',10,1,0,0,1,2,168,0
       'vo',3,'Cv' , 'bilinear' , 'uo' , 'Cu','VOGRD','V-Component of Current','m/s',10,1,0,0,1,3,168,0
